FOOD_CODE,FOOD_NAME,ENERGY
D010114,우리 고구마(나폴리L),372
D010115,우리 고구마(나폴리M),273
D010116,우리 고구마(씬 L),311
D010117,우리 고구마(씬 M),482
D010118,우리 고구마(슈퍼시드 함유 도우L),277
D010119,우리 고구마(슈퍼시드 함유 도우M),338
D010120,우리 고구마 더블치즈엣지(오리지널 L),399
D010121,우리 고구마 더블치즈엣지(오리지널 M),399
D010122,직화 스테이크(오리지널 L),482
D010123,직화 스테이크(오리지널 M),304
D010124,직화 스테이크(나폴리L),370
D010125,직화 스테이크(나폴리M),240
D010126,직화 스테이크(씬 L),314
D010127,직화 스테이크(씬 M),444
D010128,직화 스테이크(슈퍼시드 함유 도우L),308
D010129,직화 스테이크(슈퍼시드 함유 도우M),308
D010130,직화 스테이크 더블치즈엣지(오리지널 M),406
D010131,직화 스테이크 더블치즈엣지(오리지널 L),480
D010132,치즈(오리지널 L),364
D010133,치즈(오리지널 M),466
D010134,치즈(나폴리L),285
D010135,치즈(나폴리M),352
D010136,치즈(씬 L),305
D010137,치즈(씬 M),314
D010138,치즈(슈퍼시드 함유 도우L),374
D010139,치즈(슈퍼시드 함유 도우M),491
D010140,치즈 더블치즈엣지(오리지널 L),292
D010141,치즈가든(오리지널 L),601
D010142,치즈가든(오리지널 M),250
D010143,치즈가든(나폴리L),287
D010144,치즈가든(나폴리M),363
D010145,치즈가든(씬 L),209
D010146,치즈가든(씬 M),303
D010147,치즈가든(슈퍼시드 함유 도우L),249
D010148,치즈가든(슈퍼시드 함유 도우M),245
D010149,치즈가든 더블치즈엣지(오리지널 L),296
D010150,치즈가든 더블치즈엣지(오리지널 M),316
D010151,치즈피자 더블치즈엣지(오리지널 M),380
D010152,페퍼로니(오리지널 L),397
D010153,페퍼로니(오리지널 M),271
D010154,페퍼로니(나폴리L),327
D010155,페퍼로니(나폴리M),426
D010156,페퍼로니(씬 L),384
D010157,페퍼로니(씬 M),386
D010158,페퍼로니(슈퍼시드 함유 도우L),336
D010159,페퍼로니(슈퍼시드 함유 도우M),283
D010160,페퍼로니 더블치즈엣지(오리지널 L),341
D010161,페퍼로니 더블치즈엣지(오리지널 M),341
D010162,포테이토(오리지널 L),403
D010163,포테이토(오리지널 M),322
D010164,포테이토(나폴리L),352
D010165,포테이토(나폴리M),260
D010166,포테이토(씬 L),292
D010167,포테이토(씬 M),224
D010168,포테이토(슈퍼시드 함유 도우L),243
D010169,포테이토(슈퍼시드 함유 도우M),317
D010170,포테이토 더블치즈엣지(오리지널 L),350
